|Kim Jong Un| |PERSON| |0.43273264169692993| |https://en.wikipedia.org/wiki/Kim_Jong-un| |/m/0fgw19|
|North Korea| |UNKNOWN| |0.12435620278120041| |https://en.wikipedia.org/wiki/North_Korea| |/m/05b7q|
|leader| |PERSON| |0.029056057333946228| |-| |-|
|much| |OTHER| |0.013513989746570587| |-| |-|
|United States| |UNKNOWN| |0.009494265541434288| |https://en.wikipedia.org/wiki/United_States| |/m/09c7w0|
|Trump| |UNKNOWN| |0.009124602191150188| |https://en.wikipedia.org/wiki/Donald_Trump| |/m/0cqt90|
|announcement| |EVENT| |0.0080031156539917| |-| |-|
|Patrick McEachern| |PERSON| |0.0074015287682414055| |-| |-|
|progress| |OTHER| |0.0063947574235498905| |-| |-|
|skepticism| |OTHER| |0.006298913154751062| |-| |-|
|statement| |OTHER| |0.005650359205901623| |-| |-|
|fact| |OTHER| |0.005525495857000351| |-| |-|
|news program| |EVENT| |0.004984765313565731| |-| |-|
|program| |OTHER| |0.004935360513627529| |-| |-|
|Moon Jae-in| |PERSON| |0.004832085687667131| |https://en.wikipedia.org/wiki/Moon_Jae-in| |/m/0hncsd4|
|TOKYO North Koreas| |ORGANIZATION| |0.004720928613096476| |https://en.wikipedia.org/wiki/Government_of_North_Korea| |/m/025tg0q|
|summit| |EVENT| |0.004541189409792423| |-| |-|
|Blue House| |ORGANIZATION| |0.004530779086053371| |-| |-|
|summit| |EVENT| |0.00413630623370409| |-| |-|
|leadership| |OTHER| |0.003836419666185975| |-| |-|
|tests| |OTHER| |0.003680300898849964| |-| |-|
|Asia| |LOCATION| |0.003591669024899602| |https://en.wikipedia.org/wiki/Asia| |/m/0j0k|
|Pacific| |LOCATION| |0.003591669024899602| |-| |-|
|author| |PERSON| |0.003590206615626812| |-| |-|
|author| |PERSON| |0.003590206615626812| |-| |-|
|mood| |OTHER| |0.003319328650832176| |-| |-|
|bombs| |OTHER| |0.0032685946207493544| |-| |-|
|helm| |OTHER| |0.0032632327638566494| |-| |-|
|surprise| |OTHER| |0.003241555532440543| |-| |-|
|Televisions| |CONSUMER_GOOD| |0.0028910289984196424| |-| |-|
|railway station show file footage| |WORK_OF_ART| |0.0028910289984196424| |-| |-|
|wave| |OTHER| |0.0028712013736367226| |-| |-|
|reactions| |OTHER| |0.0028712013736367226| |-| |-|
|firing missiles| |EVENT| |0.0028712013736367226| |-| |-|
|course| |OTHER| |0.00286649027839303| |-| |-|
|fist| |OTHER| |0.00286649027839303| |-| |-|
|move| |EVENT| |0.00286649027839303| |-| |-|
|claim| |OTHER| |0.002862341236323118| |-| |-|
|test site| |OTHER| |0.002463314449414611| |-| |-|
|push policy| |OTHER| |0.0024249935522675514| |-| |-|
|officials| |PERSON| |0.0024219199549406767| |-| |-|
|thing| |OTHER| |0.0022862779442220926| |-| |-|
|Naoko Aoki| |PERSON| |0.002261745510622859| |-| |-|
|Korean Central News Agency| |ORGANIZATION| |0.002233636798337102| |https://en.wikipedia.org/wiki/Korean_Central_News_Agency| |/m/02ys4j|
|Laura Rosenberger| |PERSON| |0.002134202513843775| |-| |-|
|win| |EVENT| |0.0019597772043198347| |-| |-|
|Anna Fifield| |UNKNOWN| |0.0019359352299943566| |https://en.wikipedia.org/wiki/Anna_Fifield| |/g/11dz_xkq5w|
|society| |OTHER| |0.0018630740232765675| |-| |-|
|advance| |OTHER| |0.0018494940595701337| |-| |-|
|one| |OTHER| |0.0018482638988643885| |-| |-|
|Wilson Center| |ORGANIZATION| |0.0018277602503076196| |https://en.wikipedia.org/wiki/Woodrow_Wilson_International_Center_for_Scholars| |/m/05hfj3|
|President| |PERSON| |0.0017478596419095993| |-| |-|
|regime| |OTHER| |0.0017173582455143332| |-| |-|
|Seoul| |LOCATION| |0.0017089126631617546| |https://en.wikipedia.org/wiki/Seoul| |/m/0hsqf|
|AP| |ORGANIZATION| |0.0017042264807969332| |https://en.wikipedia.org/wiki/Associated_Press| |/m/0cv_2|
|Ahn Young-Joon| |OTHER| |0.0017042264807969332| |-| |-|
|age| |OTHER| |0.0016844270285218954| |-| |-|
|summits| |EVENT| |0.0016797600546851754| |-| |-|
|summits| |EVENT| |0.0016782288439571857| |-| |-|
|China| |UNKNOWN| |0.001596726942807436| |https://en.wikipedia.org/wiki/China| |/m/0d05w3|
|denuclearization deal| |EVENT| |0.0015504708280786872| |-| |-|
|politics| |OTHER| |0.0015306429704651237| |-| |-|
|demonstration| |EVENT| |0.0015100063756108284| |-| |-|
|test| |OTHER| |0.001393769751302898| |-| |-|
|fact| |OTHER| |0.0013499641790986061| |-| |-|
|meeting| |EVENT| |0.0013469380792230368| |-| |-|
|some| |PERSON| |0.0013469380792230368| |-| |-|
|author| |PERSON| |0.0013443848583847284| |-| |-|
|hydrogen bomb| |OTHER| |0.0012749790912494063| |-| |-|
|missile programs| |OTHER| |0.0012592108687385917| |-| |-|
|progress| |OTHER| |0.0012592108687385917| |-| |-|
|narratives| |PERSON| |0.00125543971080333| |-| |-|
|program| |OTHER| |0.001248617423698306| |-| |-|
